card id,card name,colors,cmc,type
1,Aether Spellbomb,,1,Artifact
2,Aether Vial,,1,Artifact
3,Aluren,['G'],4,Enchantment
4,Ancient Tomb,,0,Land
5,Animate Dead,['B'],2,Enchantment — Aura
6,Architects of Will,"['B', 'U']",4,Artifact Creature — Human Wizard
7,Archon of Cruelty,['B'],8,Creature — Archon
8,"Atraxa, Grand Unifier","['B', 'G', 'U', 'W']",7,Legendary Creature — Phyrexian Angel
9,Badlands,,0,Land — Swamp Mountain
10,Battle Cry Goblin,['R'],2,Creature — Goblin
11,Bayou,,0,Land — Swamp Forest
12,Blast Zone,,0,Land
13,Bloodbraid Marauder,['R'],2,Creature — Human Berserker
14,Bloodstained Mire,,0,Land
15,Bojuka Bog,,0,Land
16,"Boseiju, Who Endures",,0,Legendary Land
17,Brainstorm,['U'],1,Instant
18,Brazen Borrower,['U'],3,Creature — Faerie Rogue
19,Broadside Bombardiers,['R'],3,Creature — Goblin Pirate
20,Cavern Harpy,"['B', 'U']",2,Creature — Harpy Beast
21,Cavern of Souls,,0,Land
22,Caves of Chaos Adventurer,['R'],4,Creature — Human Barbarian
23,Chalice of the Void,,0,Artifact
24,Chrome Mox,,0,Artifact
25,City of Traitors,,0,Land
26,Colossal Skyturtle,"['G', 'U']",7,Enchantment Creature — Turtle
27,Consider,['U'],1,Instant
28,Crashing Footfalls,['G'],0,Sorcery
29,Crop Rotation,['G'],1,Instant
30,Crucible of Worlds,,3,Artifact
31,Dark Depths,,0,Legendary Snow Land
32,Dark Ritual,['B'],1,Instant
33,Daze,['U'],2,Instant
34,Delver of Secrets,['U'],1,Creature — Human Wizard
35,Dragon's Rage Channeler,['R'],1,Creature — Human Shaman
36,Dress Down,['U'],2,Enchantment
37,Elvish Spirit Guide,['G'],3,Creature — Elf Spirit
38,"Emry, Lurker of the Loch",['U'],3,Legendary Creature — Merfolk Wizard
39,Endurance,['G'],3,Creature — Elemental Incarnation
40,Entomb,['B'],1,Instant
41,Exhume,['B'],2,Sorcery
42,Expedition Map,,1,Artifact
43,Exploration,['G'],1,Enchantment
44,Fable of the Mirror-Breaker,['R'],3,Enchantment — Saga
45,Faithless Looting,['R'],1,Sorcery
46,Fatal Push,['B'],1,Instant
47,Fire // Ice,['R'],4,Instant
48,Flooded Strand,,0,Land
49,Force of Negation,['U'],3,Instant
50,Force of Will,['U'],5,Instant
51,Forest,,0,Basic Land — Forest
52,Fury,['R'],5,Creature — Elemental Incarnation
53,Gempalm Incinerator,['R'],3,Creature — Goblin
54,Generous Ent,['G'],6,Creature — Treefolk
55,Ghost Quarter,,0,Land
56,Goblin Lackey,['R'],1,Creature — Goblin
57,Goblin Matron,['R'],3,Creature — Goblin
58,Goblin Ringleader,['R'],4,Creature — Goblin
59,Goblin Warchief,['R'],3,Creature — Goblin Warrior
60,Grief,['B'],4,Creature — Elemental Incarnation
61,Griselbrand,['B'],8,Legendary Creature — Demon
62,Horizon Canopy,,0,Land
63,Impulse,['U'],2,Instant
64,Incubation // Incongruity,"['U', 'G']",4,Sorcery
65,Island,,0,Basic Land — Island
66,Kappa Cannoneer,['U'],6,Artifact Creature — Turtle Warrior
67,Karakas,,0,Legendary Land
68,"Leovold, Emissary of Trest","['B', 'G', 'U']",3,Legendary Creature — Elf Advisor
