card id,card name,colors,cmc,type,subtype,MTGO_id,cardset,rarity,foil,latest price
1,Aether Spellbomb,,1,"[""'Artifact'""]",,48916,MMA,Common,0,0.002
2,Aether Vial,,1,"[""'Artifact'""]",,37941,TD0,Uncommon,0,1.99
3,Aluren,['G'],4,"[""'Enchantment'""]",,56616,TPR,Rare,0,0.5
4,Ancient Tomb,,0,"[""'Land'""]",,70056,UMA,Rare,1,16.93
5,Animate Dead,['B'],2,"[""'Enchantment'""]","[""'Aura'""]",43142,PD3,Uncommon,1,0.009000000000000001
6,Architects of Will,"['B', 'U']",4,"[""'Artifact'"", ""'Creature'""]","[""'Human'"", ""'Wizard'""]",32322,ARB,Common,0,0.008
7,Archon of Cruelty,['B'],8,"[""'Creature'""]","[""'Archon'""]",90523,MH2,Mythic,0,5.27
8,"Atraxa, Grand Unifier","['B', 'G', 'U', 'W']",7,"[""'Legendary'"", ""'Creature'""]","[""'Phyrexian'"", ""'Angel'""]",106607,ONE,Mythic,0,2.27
9,Badlands,,0,"[""'Land'""]","[""'Swamp'"", ""'Mountain'""]",53078,VMA,Rare,1,4.59
10,Battle Cry Goblin,['R'],2,"[""'Creature'""]","[""'Goblin'""]",91766,AFR,Uncommon,0,0.006
11,Bayou,,0,"[""'Land'""]","[""'Swamp'"", ""'Forest'""]",53080,VMA,Rare,1,4.85
12,Blast Zone,,0,"[""'Land'""]",,72094,WAR,Rare,0,0.06
13,Bloodbraid Marauder,['R'],2,"[""'Creature'""]","[""'Human'"", ""'Berserker'""]",90605,MH2,Rare,0,0.006
14,Bloodstained Mire,,0,"[""'Land'""]",,54198,KTK,Rare,0,3.86
15,Bojuka Bog,,0,"[""'Land'""]",,35515,WWK,Common,0,0.22
16,"Boseiju, Who Endures",,0,"[""'Legendary'"", ""'Land'""]",,98135,PRM,Rare,0,14.35
17,Brainstorm,['U'],1,"[""'Instant'""]",,53117,VMA,Common,0,0.1
18,Brazen Borrower,['U'],3,"[""'Creature'""]","[""'Faerie'"", ""'Rogue'""]",78180,ELD,Mythic,0,2.67
19,Broadside Bombardiers,['R'],3,"[""'Creature'""]","[""'Goblin'"", ""'Pirate'""]",118494,LCC,Rare,0,30.43
20,Cavern Harpy,"['B', 'U']",2,"[""'Creature'""]","[""'Harpy'"", ""'Beast'""]",15071,PS,Common,0,0.02
21,Cavern of Souls,,0,"[""'Land'""]",,117702,LCI,Mythic,0,3.95
22,Caves of Chaos Adventurer,['R'],4,"[""'Creature'""]","[""'Human'"", ""'Barbarian'""]",100356,CLB,Rare,0,8.06
23,Chalice of the Void,,0,"[""'Artifact'""]",,19995,MRD,Rare,0,10.96
24,Chrome Mox,,0,"[""'Artifact'""]",,19832,MRD,Rare,1,4.86
25,City of Traitors,,0,"[""'Land'""]",,10686,EX,Rare,1,32.49
26,Colossal Skyturtle,"['G', 'U']",7,"[""'Enchantment'"", ""'Creature'""]","[""'Turtle'""]",97378,NEO,Uncommon,0,0.003
27,Consider,['U'],1,"[""'Instant'""]",,93020,MID,Common,0,0.002
28,Crashing Footfalls,['G'],0,"[""'Sorcery'""]",,72692,MH1,Rare,0,3.7800000000000002
29,Crop Rotation,['G'],1,"[""'Instant'""]",,62521,PRM,Common,0,0.9400000000000001
30,Crucible of Worlds,,3,"[""'Artifact'""]",,27627,10E,Rare,0,0.007
31,Dark Depths,,0,"[""'Legendary'"", ""'Snow'"", ""'Land'""]",,24583,CSP,Rare,0,0.37
32,Dark Ritual,['B'],1,"[""'Instant'""]",,52637,VMA,Common,0,0.007
33,Daze,['U'],2,"[""'Instant'""]",,14009,NE,Common,0,4.04
34,Delver of Secrets,['U'],1,"[""'Creature'""]","[""'Human'"", ""'Wizard'""]",42436,ISD,Common,0,0.002
35,Dragon's Rage Channeler,['R'],1,"[""'Creature'""]","[""'Human'"", ""'Shaman'""]",90616,MH2,Uncommon,1,1.4100000000000001
36,Dress Down,['U'],2,"[""'Enchantment'""]",,90447,MH2,Rare,0,2.9
37,Elvish Spirit Guide,['G'],3,"[""'Creature'""]","[""'Elf'"", ""'Spirit'""]",107361,DMR,Uncommon,0,0.2
38,"Emry, Lurker of the Loch",['U'],3,"[""'Legendary'"", ""'Creature'""]","[""'Merfolk'"", ""'Wizard'""]",78190,ELD,Rare,0,0.09
39,Endurance,['G'],3,"[""'Creature'""]","[""'Elemental'"", ""'Incarnation'""]",91295,PRM,Mythic,0,7.54
40,Entomb,['B'],1,"[""'Instant'""]",,43128,PD3,Rare,1,1.11
41,Exhume,['B'],2,"[""'Sorcery'""]",,43102,PD3,Common,1,0.85
42,Expedition Map,,1,"[""'Artifact'""]",,118591,LCC,Uncommon,1,0.003
43,Exploration,['G'],1,"[""'Enchantment'""]",,107363,DMR,Rare,0,5.19
44,Fable of the Mirror-Breaker,['R'],3,"[""'Enchantment'""]","[""'Saga'""]",98009,PRM,Rare,0,6.95
45,Faithless Looting,['R'],1,"[""'Sorcery'""]",,113702,CMM,Common,1,0.004
46,Fatal Push,['B'],1,"[""'Instant'""]",,64998,PRM,Uncommon,1,0.06
47,Fire // Ice,['R'],4,"[""'Instant'""]",,91007,MH2,Rare,0,0.42
48,Flooded Strand,,0,"[""'Land'""]",,54194,KTK,Rare,0,6.29
49,Force of Negation,['U'],3,"[""'Instant'""]",,102237,PRM,Rare,0,14.3
50,Force of Will,['U'],5,"[""'Instant'""]",,52914,VMA,Rare,1,6.59
51,Forest,,0,"[""'Basic'"", ""'Land'""]","[""'Forest'""]",118450,LCI,Common,0,0.002
52,Fury,['R'],5,"[""'Creature'""]","[""'Elemental'"", ""'Incarnation'""]",91275,PRM,Mythic,0,1.53
53,Gempalm Incinerator,['R'],3,"[""'Creature'""]","[""'Goblin'""]",107329,DMR,Uncommon,0,0.003
54,Generous Ent,['G'],6,"[""'Creature'""]","[""'Treefolk'""]",112248,LTR,Common,0,0.002
55,Ghost Quarter,,0,"[""'Land'""]",,42294,ISD,Uncommon,0,0.003
56,Goblin Lackey,['R'],1,"[""'Creature'""]","[""'Goblin'""]",33929,V09,Mythic,1,0.06
57,Goblin Matron,['R'],3,"[""'Creature'""]","[""'Goblin'""]",107735,DMR,Common,0,0.002
58,Goblin Ringleader,['R'],4,"[""'Creature'""]","[""'Goblin'""]",73185,M20,Uncommon,0,0.003
59,Goblin Warchief,['R'],3,"[""'Creature'""]","[""'Goblin'"", ""'Warrior'""]",67725,DAR,Uncommon,0,0.003
60,Grief,['B'],4,"[""'Creature'""]","[""'Elemental'"", ""'Incarnation'""]",91251,PRM,Mythic,0,9.61
61,Griselbrand,['B'],8,"[""'Legendary'"", ""'Creature'""]","[""'Demon'""]",55727,PRM,Mythic,0,0.39
62,Horizon Canopy,,0,"[""'Land'""]",,26700,FUT,Rare,0,0.5700000000000001
63,Impulse,['U'],2,"[""'Instant'""]",,107601,DMR,Common,0,0.002
64,Incubation // Incongruity,"['U', 'G']",4,"[""'Sorcery'""]",,71476,RNA,Uncommon,0,0.003
65,Island,,0,"[""'Basic'"", ""'Land'""]","[""'Island'""]",118438,LCI,Common,0,0.002
66,Kappa Cannoneer,['U'],6,"[""'Artifact'"", ""'Creature'""]","[""'Turtle'"", ""'Warrior'""]",97923,PRM,Rare,0,1.9500000000000002
67,Karakas,,0,"[""'Legendary'"", ""'Land'""]",,37885,TD0,Rare,0,1.6
68,"Leovold, Emissary of Trest","['B', 'G', 'U']",3,"[""'Legendary'"", ""'Creature'""]","[""'Elf'"", ""'Advisor'""]",62267,PZ2,Mythic,0,2.71
69,Life from the Loam,['G'],2,"[""'Sorcery'""]",,49005,MMA,Rare,1,0.56
70,Lightning Bolt,['R'],1,"[""'Instant'""]",,37240,M11,Common,0,0.11
71,Living End,['B'],0,"[""'Sorcery'""]",,25627,TSP,Rare,0,0.1
72,Living Wish,['G'],2,"[""'Sorcery'""]",,67273,A25,Rare,1,0.2
73,Lotus Petal,,0,"[""'Artifact'""]",,56432,TPR,Uncommon,0,6.74
74,Lórien Revealed,['U'],5,"[""'Sorcery'""]",,112030,LTR,Common,0,0.19
75,Malevolent Hermit,['U'],2,"[""'Creature'""]","[""'Human'"", ""'Wizard'""]",93060,MID,Rare,0,0.009000000000000001
76,Marsh Flats,,0,"[""'Land'""]",,63202,MM3,Rare,1,0.6900000000000001
77,Maze of Ith,,0,"[""'Land'""]",,60780,EMA,Rare,1,0.74
78,Metallic Rebuke,['U'],3,"[""'Instant'""]",,62629,AER,Common,0,0.002
79,Minor Misstep,['U'],1,"[""'Instant'""]",,106343,ONE,Uncommon,0,0.003
80,"Minsc & Boo, Timeless Heroes","['G', 'R']",4,"[""'Legendary'"", ""'Planeswalker'""]","[""'Minsc'""]",100608,CLB,Mythic,0,6.79
81,Misdirection,['U'],5,"[""'Instant'""]",,62461,PRM,Rare,0,8.67
82,Mishra's Bauble,,0,"[""'Artifact'""]",,66322,IMA,Uncommon,1,5.07
83,Misty Rainforest,,0,"[""'Land'""]",,90881,MH2,Rare,0,3.91
84,Mogg War Marshal,['R'],2,"[""'Creature'""]","[""'Goblin'"", ""'Warrior'""]",107751,DMR,Common,0,0.002
85,Molten Collapse,"['B', 'R']",2,"[""'Sorcery'""]",,117696,LCI,Rare,0,1.78
86,Mountain,,0,"[""'Basic'"", ""'Land'""]","[""'Mountain'""]",118444,LCI,Common,0,0.002
87,Mox Diamond,,0,"[""'Artifact'""]",,56818,TPR,Mythic,0,3.2
88,Mox Opal,,0,"[""'Legendary'"", ""'Artifact'""]",,38197,SOM,Mythic,0,3.7800000000000002
89,Munitions Expert,"['B', 'R']",2,"[""'Creature'""]","[""'Goblin'""]",72790,MH1,Uncommon,0,0.009000000000000001
90,Murderous Cut,['B'],5,"[""'Instant'""]",,54104,KTK,Uncommon,0,0.003
91,Murktide Regent,['U'],7,"[""'Creature'""]","[""'Dragon'""]",90473,MH2,Mythic,0,10.29
92,"Muxus, Goblin Grandee",['R'],6,"[""'Legendary'"", ""'Creature'""]","[""'Goblin'"", ""'Noble'""]",81795,JMP,Rare,0,11.47
93,Mystic Sanctuary,,0,"[""'Land'""]","[""'Island'""]",78640,ELD,Common,0,0.002
94,Mystical Dispute,['U'],3,"[""'Instant'""]",,78226,ELD,Uncommon,0,0.03
95,Once Upon a Time,['G'],2,"[""'Instant'""]",,78478,ELD,Rare,0,0.07
96,Orcish Bowmasters,['B'],2,"[""'Creature'""]","[""'Orc'"", ""'Archer'""]",111590,LTR,Rare,0,29.49
97,"Otawara, Soaring City",,0,"[""'Legendary'"", ""'Land'""]",,98123,PRM,Rare,0,2.59
98,Paradigm Shift,['U'],2,"[""'Sorcery'""]",,9334,WL,Rare,1,8.99
99,Patchwork Automaton,,2,"[""'Artifact'"", ""'Creature'""]","[""'Construct'""]",97458,NEO,Uncommon,0,0.003
100,Pernicious Deed,"['B', 'G']",3,"[""'Enchantment'""]",,36307,PRM,Rare,1,3.94
101,Phyrexian Dreadnought,,1,"[""'Artifact'"", ""'Creature'""]","[""'Phyrexian'"", ""'Dreadnought'""]",43534,PRM,Rare,0,0.04
102,Pithing Needle,,1,"[""'Artifact'""]",,46499,RTR,Rare,0,0.03
103,Polluted Delta,,0,"[""'Land'""]",,54196,KTK,Rare,0,8.83
104,Ponder,['U'],1,"[""'Sorcery'""]",,41241,M12,Common,0,0.005
105,Preordain,['U'],1,"[""'Sorcery'""]",,37388,M11,Common,0,1.6600000000000001
106,Prismatic Ending,['W'],1,"[""'Sorcery'""]",,90419,MH2,Uncommon,0,1.15
107,Prismatic Vista,,0,"[""'Land'""]",,72860,MH1,Rare,0,1.77
108,Questing Druid,['G'],2,"[""'Creature'""]","[""'Human'"", ""'Druid'""]",116840,WOE,Rare,0,6.54
109,Reanimate,['B'],1,"[""'Sorcery'""]",,52695,VMA,Uncommon,0,0.30000000000000004
110,Riftstone Portal,,0,"[""'Land'""]",,17624,JUD,Uncommon,0,0.09
111,Rishadan Port,,0,"[""'Land'""]",,55739,PRM,Rare,0,3.8
112,"Sai, Master Thopterist",['U'],3,"[""'Legendary'"", ""'Creature'""]","[""'Human'"", ""'Artificer'""]",68299,M19,Rare,0,0.007
113,Sauron's Ransom,"['B', 'U']",3,"[""'Instant'""]",,112361,LTR,Rare,1,0.02
114,Savannah,,0,"[""'Land'""]","[""'Forest'"", ""'Plains'""]",53085,VMA,Rare,0,3.25
115,Scalding Tarn,,0,"[""'Land'""]",,90889,MH2,Rare,0,3.58
116,Scrubland,,0,"[""'Land'""]","[""'Plains'"", ""'Swamp'""]",43617,PRM,Rare,1,2.15
117,Seat of the Synod,,0,"[""'Artifact'"", ""'Land'""]",,20017,MRD,Common,0,0.6900000000000001
118,Serra's Emissary,['W'],7,"[""'Creature'""]","[""'Angel'""]",90429,MH2,Mythic,0,0.03
119,Shadowspear,,1,"[""'Legendary'"", ""'Artifact'""]","[""'Equipment'""]",79597,THB,Rare,1,1.6099999999999999
120,Shardless Agent,"['G', 'U']",3,"[""'Artifact'"", ""'Creature'""]","[""'Human'"", ""'Rogue'""]",55698,PRM,Uncommon,1,0.009000000000000001
121,Sheoldred's Edict,['B'],2,"[""'Instant'""]",,106431,ONE,Uncommon,0,0.003
122,Simian Spirit Guide,['R'],3,"[""'Creature'""]","[""'Ape'"", ""'Spirit'""]",26357,PLC,Common,0,0.03
123,Skirk Prospector,['R'],1,"[""'Creature'""]","[""'Goblin'""]",107763,DMR,Common,0,0.002
124,Sling-Gang Lieutenant,['B'],4,"[""'Creature'""]","[""'Goblin'""]",72588,MH1,Uncommon,0,0.004
125,Slip Out the Back,['U'],1,"[""'Instant'""]",,98343,SNC,Uncommon,0,0.003
126,Snow-Covered Forest,,0,"[""'Basic'"", ""'Snow'"", ""'Land'""]","[""'Forest'""]",87921,KHM,Common,0,0.002
127,Snow-Covered Island,,0,"[""'Basic'"", ""'Snow'"", ""'Land'""]","[""'Island'""]",87909,KHM,Common,0,0.002
128,Snow-Covered Swamp,,0,"[""'Basic'"", ""'Snow'"", ""'Land'""]","[""'Swamp'""]",87913,KHM,Common,0,0.002
129,Snuff Out,['B'],4,"[""'Instant'""]",,34952,DDD,Common,0,4.6
130,Soul-Guide Lantern,,1,"[""'Artifact'""]",,116890,WOE,Uncommon,0,0.003
131,Spell Pierce,['U'],1,"[""'Instant'""]",,101610,2X2,Common,0,0.002
132,Spell Snare,['U'],1,"[""'Instant'""]",,24113,DIS,Uncommon,0,0.29
133,Spellseeker,['U'],3,"[""'Creature'""]","[""'Human'"", ""'Wizard'""]",115339,CMM,Mythic,0,3.69
134,Sphere of Resistance,,2,"[""'Artifact'""]",,52732,VMA,Rare,1,1.81
135,Step Through,['U'],5,"[""'Sorcery'""]",,90505,MH2,Common,0,0.002
136,Stifle,['U'],1,"[""'Instant'""]",,18903,SCG,Rare,1,9.99
137,Stingscourger,['R'],2,"[""'Creature'""]","[""'Goblin'"", ""'Warrior'""]",86759,TSR,Common,0,0.002
138,Street Wraith,['B'],5,"[""'Creature'""]","[""'Wraith'""]",108087,DMR,Common,0,0.009000000000000001
139,Strict Proctor,['W'],2,"[""'Creature'""]","[""'Spirit'"", ""'Cleric'""]",88543,STX,Rare,0,1.65
140,Swamp,,0,"[""'Basic'"", ""'Land'""]","[""'Swamp'""]",118442,LCI,Common,0,0.002
141,Swords to Plowshares,['W'],1,"[""'Instant'""]",,107235,DMR,Uncommon,0,0.01
142,Sylvan Library,['G'],2,"[""'Enchantment'""]",,59091,PZ1,Rare,0,0.006
143,Taiga,,0,"[""'Land'""]","[""'Mountain'"", ""'Forest'""]",53090,VMA,Rare,1,4.4
144,Thassa's Oracle,['U'],2,"[""'Creature'""]","[""'Merfolk'"", ""'Wizard'""]",79270,THB,Rare,0,0.26
145,The One Ring,,4,"[""'Legendary'"", ""'Artifact'""]",,111810,LTR,Mythic,0,37.57
146,The Tabernacle at Pendrell Vale,,0,"[""'Legendary'"", ""'Land'""]",,60450,PRM,Rare,0,6.51
147,Thespian's Stage,,0,"[""'Land'""]",,47805,GTC,Rare,0,0.2
148,Thought Lash,['U'],4,"[""'Enchantment'""]",,30732,ME2,Rare,0,1.9500000000000002
149,Thought Monitor,['U'],7,"[""'Artifact'"", ""'Creature'""]","[""'Construct'""]",90515,MH2,Rare,0,0.23
150,Thoughtcast,['U'],5,"[""'Sorcery'""]",,19787,MRD,Common,0,0.22
151,Thoughtseize,['B'],1,"[""'Sorcery'""]",,50256,THS,Rare,0,3.38
152,Torpor Orb,,2,"[""'Artifact'""]",,39998,NPH,Rare,0,0.25
153,Trinisphere,,3,"[""'Artifact'""]",,20491,DST,Rare,0,0.19
154,Troll of Khazad-dûm,['B'],6,"[""'Creature'""]","[""'Troll'""]",112132,LTR,Common,0,0.002
155,Tropical Island,,0,"[""'Land'""]","[""'Forest'"", ""'Island'""]",43621,PRM,Rare,1,17.49
156,Tundra,,0,"[""'Land'""]","[""'Plains'"", ""'Island'""]",53096,VMA,Rare,1,8.25
157,Underground Sea,,0,"[""'Land'""]","[""'Island'"", ""'Swamp'""]",53097,VMA,Rare,0,11.12
158,Undermountain Adventurer,['G'],4,"[""'Creature'""]","[""'Giant'"", ""'Warrior'""]",100558,CLB,Rare,0,0.79
159,Unholy Heat,['R'],1,"[""'Instant'""]",,90667,MH2,Common,0,0.006
160,Unmask,['B'],4,"[""'Sorcery'""]",,13535,MM,Rare,0,12.72
161,Up the Beanstalk,['G'],2,"[""'Enchantment'""]",,116732,WOE,Uncommon,0,0.04
162,"Uro, Titan of Nature's Wrath","['G', 'U']",3,"[""'Legendary'"", ""'Creature'""]","[""'Elder'"", ""'Giant'""]",87222,SLD,Mythic,1,1.12
163,Urza's Bauble,,0,"[""'Artifact'""]",,28072,MED,Uncommon,1,7.27
164,Urza's Saga,,0,"[""'Enchantment'"", ""'Land'""]","[""'Urza's'"", ""'Saga'""]",90899,MH2,Rare,0,20.8
165,Verdant Catacombs,,0,"[""'Land'""]",,34705,ZEN,Rare,1,2.1
166,Violent Outburst,"['G', 'R']",3,"[""'Instant'""]",,32434,ARB,Common,0,0.4
167,Volcanic Island,,0,"[""'Land'""]","[""'Island'"", ""'Mountain'""]",95479,PRM,Rare,0,21.49
168,Wail of the Forgotten,"['B', 'U']",2,"[""'Sorcery'""]",,117699,LCI,Rare,1,0.02
169,Wasteland,,0,"[""'Land'""]",,10035,TE,Uncommon,0,13.37
170,Windswept Heath,,0,"[""'Land'""]",,54202,KTK,Rare,0,3.2800000000000002
171,Witherbloom Command,"['B', 'G']",2,"[""'Sorcery'""]",,89003,STX,Rare,0,2.12
172,Wooded Foothills,,0,"[""'Land'""]",,54200,KTK,Rare,0,4.44
173,"Yavimaya, Cradle of Growth",,0,"[""'Legendary'"", ""'Land'""]",,90903,MH2,Rare,0,0.16
174,_____ Goblin,['R'],3,"[""'Creature'""]","[""'Goblin'"", ""'Guest'""]",115722,UNF,Common,0,4.8100000000000005
175,Agatha's Soul Cauldron,,2,"[""'Legendary'"", ""'Artifact'""]",,116873,WOE,Mythic,1,19.24
176,Ancient Stirrings,['G'],1,"[""'Sorcery'""]",,70944,PRM,Common,0,0.002
177,Animation Module,,1,"[""'Artifact'""]",,62055,KLD,Rare,0,0.009000000000000001
178,Arcbound Ravager,,2,"[""'Artifact'"", ""'Creature'""]","[""'Beast'""]",72888,PRM,Rare,0,0.03
179,Arid Mesa,,0,"[""'Land'""]",,34414,ZEN,Rare,0,1.29
180,Aspect of Hydra,['G'],1,"[""'Instant'""]",,51557,BNG,Common,0,0.002
181,Blackcleave Cliffs,,0,"[""'Land'""]",,106712,ONE,Rare,1,0.09
182,Blood Artist,['B'],2,"[""'Creature'""]","[""'Vampire'""]",101625,2X2,Uncommon,1,0.005
183,Blood Crypt,,0,"[""'Land'""]","[""'Swamp'"", ""'Mountain'""]",46506,RTR,Rare,1,0.49
184,Blooming Marsh,,0,"[""'Land'""]",,61849,KLD,Rare,0,1.38
185,Bonecrusher Giant,['R'],3,"[""'Creature'""]","[""'Giant'""]",78352,ELD,Rare,0,2.48
186,Breeding Pool,,0,"[""'Land'""]","[""'Forest'"", ""'Island'""]",47475,GTC,Rare,0,0.19
187,Castle Locthwain,,0,"[""'Land'""]",,78628,ELD,Rare,0,2.71
188,Castle Vantress,,0,"[""'Land'""]",,78630,ELD,Rare,0,0.03
189,Chord of Calling,['G'],3,"[""'Instant'""]",,23454,RAV,Rare,0,0.21
190,Counterspell,['U'],2,"[""'Instant'""]",,113678,CMM,Common,1,0.02
191,Cragcrown Pathway,,0,"[""'Land'""]",,83523,ZNR,Rare,0,3.01
192,Curator of Mysteries,['U'],4,"[""'Creature'""]","[""'Sphinx'""]",63700,AKH,Rare,0,0.009000000000000001
193,Dauthi Voidwalker,['B'],2,"[""'Creature'""]","[""'Dauthi'"", ""'Rogue'""]",90535,MH2,Rare,0,4.31
194,Dead // Gone,['R'],4,"[""'Instant'""]",,26517,PLC,Common,0,0.04
195,Delighted Halfling,['G'],1,"[""'Creature'""]","[""'Halfling'"", ""'Citizen'""]",119608,LTR,Rare,0,0.9400000000000001
196,Deputy of Detention,"['U', 'W']",3,"[""'Creature'""]","[""'Vedalken'"", ""'Wizard'""]",71330,RNA,Rare,0,0.01
197,Dismember,['B'],3,"[""'Instant'""]",,57330,MM2,Uncommon,0,5.39
198,Dryad Arbor,['G'],0,"[""'Land'"", ""'Creature'""]","[""'Forest'"", ""'Dryad'""]",26882,FUT,Uncommon,0,0.44
199,Dwarven Mine,,0,"[""'Land'""]","[""'Mountain'""]",78632,ELD,Common,0,0.002
200,Eagles of the North,['W'],6,"[""'Creature'""]","[""'Bird'"", ""'Soldier'""]",111924,LTR,Common,0,0.002
201,Echoing Deeps,,0,"[""'Land'""]","[""'Cave'""]",117704,LCI,Rare,0,0.17
202,Eldritch Evolution,['G'],3,"[""'Sorcery'""]",,61460,EMN,Rare,0,0.16
203,Ephemerate,['W'],1,"[""'Instant'""]",,72386,MH1,Common,0,0.38
204,Expressive Iteration,"['R', 'U']",2,"[""'Sorcery'""]",,88879,STX,Uncommon,0,0.07
205,Flame of Anor,"['R', 'U']",3,"[""'Instant'""]",,112317,LTR,Rare,1,0.98
