CardID,Name,Colors,CMC,Type,Subtype,Set,Rarity
1,Aether Spellbomb,,1,"[""'Artifact'""]",,MMA,Common
2,Aether Vial,,1,"[""'Artifact'""]",,TD0,Uncommon
3,Aluren,['G'],4,"[""'Enchantment'""]",,TPR,Rare
4,Ancient Tomb,,0,"[""'Land'""]",,UMA,Rare
5,Animate Dead,['B'],2,"[""'Enchantment'""]","[""'Aura'""]",PD3,Uncommon
6,Architects of Will,"['B', 'U']",4,"[""'Artifact'"", ""'Creature'""]","[""'Human'"", ""'Wizard'""]",ARB,Common
7,Archon of Cruelty,['B'],8,"[""'Creature'""]","[""'Archon'""]",MH2,Mythic
8,"Atraxa, Grand Unifier","['B', 'G', 'U', 'W']",7,"[""'Legendary'"", ""'Creature'""]","[""'Phyrexian'"", ""'Angel'""]",ONE,Mythic
9,Badlands,,0,"[""'Land'""]","[""'Swamp'"", ""'Mountain'""]",VMA,Rare
10,Battle Cry Goblin,['R'],2,"[""'Creature'""]","[""'Goblin'""]",AFR,Uncommon
11,Bayou,,0,"[""'Land'""]","[""'Swamp'"", ""'Forest'""]",VMA,Rare
12,Blast Zone,,0,"[""'Land'""]",,WAR,Rare
13,Bloodbraid Marauder,['R'],2,"[""'Creature'""]","[""'Human'"", ""'Berserker'""]",MH2,Rare
14,Bloodstained Mire,,0,"[""'Land'""]",,KTK,Rare
15,Bojuka Bog,,0,"[""'Land'""]",,WWK,Common
16,"Boseiju, Who Endures",,0,"[""'Legendary'"", ""'Land'""]",,PRM,Rare
17,Brainstorm,['U'],1,"[""'Instant'""]",,VMA,Common
18,Brazen Borrower,['U'],3,"[""'Creature'""]","[""'Faerie'"", ""'Rogue'""]",ELD,Mythic
19,Broadside Bombardiers,['R'],3,"[""'Creature'""]","[""'Goblin'"", ""'Pirate'""]",LCC,Rare
20,Cavern Harpy,"['B', 'U']",2,"[""'Creature'""]","[""'Harpy'"", ""'Beast'""]",PS,Common
21,Cavern of Souls,,0,"[""'Land'""]",,LCI,Mythic
22,Caves of Chaos Adventurer,['R'],4,"[""'Creature'""]","[""'Human'"", ""'Barbarian'""]",CLB,Rare
23,Chalice of the Void,,0,"[""'Artifact'""]",,MRD,Rare
24,Chrome Mox,,0,"[""'Artifact'""]",,MRD,Rare
25,City of Traitors,,0,"[""'Land'""]",,EX,Rare
26,Colossal Skyturtle,"['G', 'U']",7,"[""'Enchantment'"", ""'Creature'""]","[""'Turtle'""]",NEO,Uncommon
27,Consider,['U'],1,"[""'Instant'""]",,MID,Common
28,Crashing Footfalls,['G'],0,"[""'Sorcery'""]",,MH1,Rare
29,Crop Rotation,['G'],1,"[""'Instant'""]",,PRM,Common
30,Crucible of Worlds,,3,"[""'Artifact'""]",,10E,Rare
31,Dark Depths,,0,"[""'Legendary'"", ""'Snow'"", ""'Land'""]",,CSP,Rare
32,Dark Ritual,['B'],1,"[""'Instant'""]",,VMA,Common
33,Daze,['U'],2,"[""'Instant'""]",,NE,Common
34,Delver of Secrets,['U'],1,"[""'Creature'""]","[""'Human'"", ""'Wizard'""]",ISD,Common
35,Dragon's Rage Channeler,['R'],1,"[""'Creature'""]","[""'Human'"", ""'Shaman'""]",MH2,Uncommon
36,Dress Down,['U'],2,"[""'Enchantment'""]",,MH2,Rare
