EventID,CardID,Copies
3,1,2
15,1,1
16,1,1
20,1,1
28,1,1
58,1,1
75,1,1
135,1,1
148,1,2
178,1,1
186,1,1
196,1,1
219,1,2
281,1,1
3,2,4
15,2,4
16,2,4
27,2,3
75,2,4
90,2,4
101,2,12
112,2,4
127,2,4
136,2,4
149,2,4
179,2,4
186,2,8
187,2,4
196,2,8
208,2,4
219,2,4
230,2,4
243,2,4
244,2,4
258,2,4
271,2,4
281,2,4
318,2,4
3,3,4
243,3,4
3,4,20
8,4,4
15,4,12
20,4,16
27,4,14
32,4,8
41,4,23
46,4,8
58,4,4
68,4,4
75,4,31
80,4,8
89,4,19
94,4,16
101,4,42
106,4,8
112,4,24
117,4,4
126,4,22
131,4,20
135,4,48
140,4,12
148,4,42
153,4,28
165,4,20
178,4,14
186,4,24
196,4,25
207,4,24
219,4,42
230,4,14
235,4,4
243,4,22
248,4,8
257,4,34
262,4,4
270,4,25
275,4,8
281,4,32
286,4,4
292,4,26
305,4,32
310,4,4
317,4,24
322,4,8
3,5,14
15,5,8
27,5,22
41,5,6
75,5,4
89,5,10
101,5,8
112,5,6
126,5,16
135,5,6
148,5,4
165,5,6
178,5,1
186,5,4
196,5,5
207,5,1
219,5,5
230,5,12
243,5,16
257,5,8
270,5,4
281,5,3
292,5,7
305,5,12
317,5,12
3,6,8
4,6,4
15,6,4
16,6,4
27,6,8
28,6,7
41,6,4
42,6,8
54,6,15
76,6,8
90,6,7
127,6,3
165,6,4
179,6,4
187,6,7
196,6,4
197,6,8
208,6,3
244,6,4
258,6,4
271,6,6
292,6,4
318,6,12
3,7,5
4,7,9
15,7,3
16,7,2
27,7,7
28,7,4
41,7,3
42,7,6
54,7,4
75,7,1
76,7,7
89,7,2
90,7,3
101,7,4
102,7,3
112,7,1
126,7,8
127,7,7
135,7,1
148,7,3
149,7,3
165,7,3
186,7,1
197,7,3
208,7,3
219,7,3
230,7,7
243,7,11
244,7,4
257,7,5
258,7,4
270,7,5
281,7,1
292,7,3
305,7,6
317,7,7
3,8,3
6,8,1
15,8,4
16,8,1
18,8,1
19,8,5
20,8,4
27,8,6
30,8,1
31,8,3
32,8,4
41,8,2
42,8,1
57,8,6
67,8,2
75,8,6
79,8,3
89,8,9
94,8,6
101,8,2
105,8,5
106,8,4
112,8,3
117,8,4
126,8,10
129,8,3
130,8,3
131,8,4
135,8,6
139,8,3
140,8,4
148,8,2
151,8,1
152,8,6
153,8,4
165,8,4
169,8,12
170,8,8
182,8,3
186,8,2
189,8,1
199,8,1
200,8,6
201,8,4
210,8,1
219,8,1
222,8,1
223,8,3
230,8,7
243,8,8
244,8,8
247,8,3
257,8,2
258,8,4
262,8,4
270,8,4
273,8,7
274,8,6
281,8,3
284,8,1
292,8,12
295,8,3
296,8,6
297,8,4
305,8,4
309,8,6
317,8,6
321,8,9
322,8,4
3,9,8
15,9,4
27,9,13
41,9,6
75,9,5
89,9,8
101,9,5
112,9,4
126,9,6
135,9,4
148,9,2
165,9,5
178,9,6
196,9,5
207,9,1
219,9,6
230,9,8
243,9,14
257,9,5
262,9,1
270,9,6
292,9,3
305,9,4
317,9,7
3,10,3
15,10,4
20,10,4
27,10,6
41,10,4
75,10,12
101,10,16
112,10,8
126,10,8
135,10,8
148,10,20
151,10,4
165,10,4
178,10,4
186,10,8
196,10,8
207,10,12
219,10,22
230,10,3
243,10,6
257,10,3
270,10,4
281,10,16
292,10,4
305,10,20
317,10,8
3,11,4
15,11,4
27,11,4
32,11,1
41,11,2
68,11,2
75,11,2
89,11,4
94,11,1
101,11,3
112,11,5
117,11,1
126,11,1
135,11,1
148,11,3
165,11,11
170,11,1
178,11,3
186,11,3
196,11,3
207,11,4
219,11,4
230,11,7
243,11,6
257,11,4
262,11,2
270,11,1
281,11,11
292,11,9
305,11,8
317,11,6
3,12,1
16,12,1
41,12,2
54,12,1
78,12,1
90,12,1
112,12,3
126,12,1
165,12,1
