EventID,CardID,Copies
3,1917,1
243,1917,1
3,1136,2
18,1136,1
27,1136,4
28,1136,1
44,1136,1
54,1136,1
76,1136,1
102,1136,2
129,1136,1
196,1136,1
230,1136,2
246,1136,1
273,1136,3
281,1136,1
292,1136,1
295,1136,1
317,1136,2
3,1492,3
41,1492,4
126,1492,1
148,1492,2
165,1492,1
243,1492,1
305,1492,1
3,1918,2
5,1918,1
17,1918,21
27,1918,2
29,1918,12
41,1918,5
43,1918,12
65,1918,19
75,1918,2
77,1918,11
89,1918,3
91,1918,7
101,1918,1
103,1918,10
112,1918,2
114,1918,4
126,1918,1
128,1918,21
135,1918,1
137,1918,14
148,1918,3
150,1918,20
165,1918,6
167,1918,2
178,1918,2
180,1918,5
186,1918,3
188,1918,13
196,1918,1
198,1918,3
207,1918,6
209,1918,12
219,1918,2
221,1918,11
230,1918,6
232,1918,24
243,1918,3
245,1918,18
257,1918,4
259,1918,3
270,1918,2
272,1918,18
281,1918,4
283,1918,18
294,1918,14
305,1918,3
307,1918,11
317,1918,3
319,1918,12
3,16,1
4,16,5
16,16,8
18,16,1
19,16,2
28,16,4
31,16,2
42,16,4
54,16,5
57,16,1
66,16,4
76,16,4
78,16,2
90,16,6
93,16,1
94,16,1
102,16,4
104,16,2
105,16,3
112,16,2
115,16,2
116,16,1
126,16,1
127,16,7
129,16,3
136,16,4
148,16,3
149,16,3
165,16,1
166,16,1
168,16,2
169,16,1
178,16,1
179,16,2
187,16,4
196,16,2
197,16,5
208,16,4
210,16,2
220,16,4
231,16,4
244,16,2
246,16,2
258,16,4
270,16,3
271,16,2
273,16,1
292,16,1
305,16,1
318,16,6
3,18,1
4,18,3
15,18,4
16,18,3
27,18,2
28,18,6
30,18,2
41,18,2
42,18,3
54,18,5
66,18,1
75,18,4
76,18,2
78,18,2
89,18,6
90,18,1
92,18,2
101,18,2
112,18,2
115,18,1
126,18,5
135,18,4
136,18,1
138,18,2
148,18,5
151,18,2
168,18,3
181,18,2
186,18,3
187,18,3
189,18,1
197,18,1
207,18,1
208,18,1
210,18,1
219,18,3
230,18,2
233,18,2
243,18,4
246,18,2
257,18,7
270,18,5
281,18,7
284,18,1
292,18,2
295,18,2
305,18,1
317,18,4
318,18,1
3,511,2
4,511,15
6,511,2
16,511,7
18,511,5
19,511,4
28,511,5
30,511,3
41,511,2
42,511,15
44,511,1
45,511,3
54,511,3
57,511,4
66,511,2
75,511,8
76,511,4
78,511,2
79,511,5
89,511,2
90,511,3
92,511,1
93,511,1
102,511,6
105,511,1
112,511,2
115,511,1
126,511,7
127,511,3
130,511,3
135,511,1
136,511,10
138,511,7
149,511,6
151,511,1
152,511,6
165,511,2
166,511,6
169,511,3
179,511,7
181,511,3
182,511,2
186,511,2
187,511,1
189,511,3
190,511,1
196,511,2
197,511,2
200,511,1
207,511,4
208,511,4
210,511,4
220,511,8
222,511,1
223,511,3
230,511,2
231,511,5
233,511,5
234,511,4
243,511,2
244,511,3
246,511,3
257,511,2
258,511,4
270,511,4
271,511,3
281,511,2
284,511,4
285,511,1
292,511,4
295,511,2
305,511,2
309,511,2
317,511,2
318,511,4
3,1919,9
15,1919,6
27,1919,7
41,1919,6
75,1919,10
89,1919,5
112,1919,4
126,1919,3
135,1919,10
148,1919,5
165,1919,9
178,1919,10
186,1919,4
196,1919,5
207,1919,4
219,1919,2
230,1919,7
243,1919,2
257,1919,4
270,1919,7
281,1919,9
292,1919,10
305,1919,11
317,1919,12
3,23,2
4,23,29
15,23,5
16,23,23
20,23,1
27,23,2
28,23,22
41,23,3
42,23,14
54,23,24
75,23,1
76,23,31
90,23,20
94,23,2
101,23,6
102,23,24
126,23,4
127,23,29
136,23,21
148,23,4
149,23,37
165,23,4
166,23,33
170,23,1
178,23,3
179,23,30
187,23,32
196,23,5
197,23,20
207,23,7
208,23,24
219,23,12
220,23,27
230,23,2
231,23,31
243,23,6
244,23,27
257,23,3
258,23,32
270,23,3
271,23,27
281,23,12
292,23,4
305,23,13
317,23,7
318,23,21
3,1920,2
15,1920,2
41,1920,5
101,1920,3
112,1920,5
126,1920,2
165,1920,1
178,1920,2
179,1920,1
186,1920,1
196,1920,2
207,1920,1
219,1920,2
230,1920,2
243,1920,6
257,1920,5
270,1920,2
281,1920,1
292,1920,3
305,1920,1
317,1920,4
318,1920,2
3,976,8
15,976,5
27,976,4
41,976,1
68,976,4
75,976,1
89,976,5
101,976,1
112,976,1
135,976,1
140,976,4
148,976,1
153,976,4
165,976,4
170,976,4
178,976,1
179,976,1
186,976,2
196,976,1
207,976,7
219,976,3
243,976,1
248,976,3
257,976,1
262,976,5
281,976,8
292,976,5
297,976,4
305,976,1
3,1282,1
15,1282,1
20,1282,4
32,1282,4
41,1282,3
46,1282,3
58,1282,6
66,1282,3
68,1282,4
75,1282,2
80,1282,4
89,1282,1
94,1282,7
101,1282,2
106,1282,1
112,1282,7
117,1282,4
131,1282,5
135,1282,9
140,1282,6
148,1282,2
151,1282,2
153,1282,9
165,1282,8
178,1282,1
186,1282,1
196,1282,6
207,1282,6
210,1282,2
219,1282,2
230,1282,4
243,1282,1
248,1282,6
257,1282,6
270,1282,5
275,1282,10
281,1282,2
292,1282,7
297,1282,7
310,1282,2
317,1282,3
322,1282,7
3,1493,3
27,1493,6
41,1493,3
75,1493,1
89,1493,6
101,1493,5
112,1493,3
126,1493,8
148,1493,8
165,1493,3
178,1493,3
196,1493,5
207,1493,5
219,1493,3
230,1493,1
257,1493,4
281,1493,1
292,1493,3
305,1493,1
3,193,11
15,193,3
27,193,6
41,193,8
54,193,3
75,193,6
76,193,3
89,193,8
90,193,4
101,193,8
112,193,3
126,193,15
135,193,7
136,193,3
148,193,9
149,193,6
165,193,3
166,193,2
178,193,5
186,193,4
187,193,2
207,193,5
219,193,9
230,193,6
243,193,13
257,193,7
258,193,1
270,193,6
281,193,3
292,193,8
305,193,7
317,193,18
3,194,3
16,194,1
27,194,2
28,194,1
75,194,2
101,194,5
112,194,3
126,194,3
186,194,5
196,194,3
197,194,3
207,194,6
220,194,1
257,194,5
270,194,3
271,194,1
281,194,3
305,194,2
317,194,6
318,194,2
3,1921,2
15,1921,3
27,1921,2
30,1921,2
41,1921,1
75,1921,2
92,1921,2
101,1921,2
112,1921,7
129,1921,3
148,1921,2
165,1921,2
178,1921,4
196,1921,4
243,1921,4
270,1921,2
273,1921,1
281,1921,3
292,1921,3
317,1921,2
3,1381,3
8,1381,3
16,1381,3
20,1381,3
28,1381,6
32,1381,3
41,1381,2
42,1381,6
46,1381,1
54,1381,11
75,1381,2
89,1381,6
90,1381,10
94,1381,3
102,1381,3
106,1381,3
126,1381,2
127,1381,6
131,1381,9
135,1381,5
136,1381,3
140,1381,3
149,1381,3
153,1381,6
166,1381,1
179,1381,3
187,1381,3
197,1381,3
207,1381,1
208,1381,2
220,1381,8
244,1381,3
257,1381,3
270,1381,2
271,1381,7
281,1381,3
286,1381,3
292,1381,4
297,1381,2
318,1381,10
3,197,8
4,197,3
8,197,2
15,197,11
16,197,3
20,197,8
27,197,6
28,197,4
32,197,5
41,197,3
42,197,10
46,197,4
54,197,9
68,197,1
75,197,10
76,197,2
80,197,8
89,197,5
90,197,8
94,197,5
101,197,9
102,197,4
106,197,4
112,197,7
117,197,3
126,197,10
127,197,7
131,197,13
135,197,13
136,197,3
140,197,2
148,197,11
149,197,5
153,197,6
165,197,6
170,197,4
178,197,7
179,197,10
186,197,6
187,197,5
196,197,2
197,197,7
207,197,2
208,197,3
219,197,14
220,197,7
230,197,6
231,197,4
235,197,2
243,197,4
244,197,10
248,197,4
257,197,3
258,197,2
262,197,4
270,197,1
271,197,11
281,197,10
286,197,2
292,197,2
297,197,1
305,197,7
317,197,4
318,197,13
322,197,3
3,36,4
4,36,2
15,36,2
16,36,4
27,36,2
28,36,4
41,36,6
42,36,3
46,36,1
54,36,2
75,36,3
76,36,1
89,36,4
90,36,3
102,36,2
106,36,2
112,36,1
117,36,1
126,36,4
127,36,7
135,36,2
136,36,8
148,36,4
149,36,1
153,36,2
165,36,8
166,36,4
178,36,5
179,36,10
183,36,1
186,36,1
187,36,3
191,36,2
196,36,2
197,36,3
201,36,1
207,36,6
208,36,4
212,36,1
219,36,3
220,36,5
230,36,4
231,36,10
235,36,1
244,36,2
257,36,3
270,36,1
271,36,7
286,36,1
292,36,1
305,36,3
317,36,8
318,36,2
3,1467,1
17,1467,3
27,1467,3
28,1467,1
75,1467,1
91,1467,1
112,1467,2
128,1467,2
148,1467,2
150,1467,1
165,1467,2
178,1467,4
180,1467,1
207,1467,1
209,1467,3
232,1467,2
245,1467,2
