event id,format,event type,link,date
3,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-277779,2024-01-27
4,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-277787,2024-01-27
5,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-277795,2024-01-27
6,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-277803,2024-01-27
7,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-277811,2024-01-27
8,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-277819,2024-01-27
15,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-267779,2024-01-26
16,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-267787,2024-01-26
17,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-267795,2024-01-26
18,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-267803,2024-01-26
19,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-267811,2024-01-26
20,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-267819,2024-01-26
27,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-257779,2024-01-25
28,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-257787,2024-01-25
29,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-257795,2024-01-25
30,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-257803,2024-01-25
31,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-257811,2024-01-25
32,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-257819,2024-01-25
41,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-247779,2024-01-24
42,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-247787,2024-01-24
43,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-247795,2024-01-24
44,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-247803,2024-01-24
45,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-247811,2024-01-24
46,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-247819,2024-01-24
53,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-237779,2024-01-23
54,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-237787,2024-01-23
55,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-237795,2024-01-23
56,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-237803,2024-01-23
57,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-237811,2024-01-23
58,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-237819,2024-01-23
63,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-227779,2024-01-22
64,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-227787,2024-01-22
65,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-227795,2024-01-22
66,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-227803,2024-01-22
67,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-227811,2024-01-22
68,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-227819,2024-01-22
75,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-217779,2024-01-21
76,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-217787,2024-01-21
77,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-217795,2024-01-21
78,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-217803,2024-01-21
79,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-217811,2024-01-21
80,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-217819,2024-01-21
89,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-207779,2024-01-20
90,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-207787,2024-01-20
91,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-207795,2024-01-20
92,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-207803,2024-01-20
93,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-207811,2024-01-20
94,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-207819,2024-01-20
101,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-197779,2024-01-19
102,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-197787,2024-01-19
103,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-197795,2024-01-19
104,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-197803,2024-01-19
105,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-197811,2024-01-19
106,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-197819,2024-01-19
112,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-187779,2024-01-18
113,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-187787,2024-01-18
114,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-187795,2024-01-18
115,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-187803,2024-01-18
116,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-187811,2024-01-18
117,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-187819,2024-01-18
126,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-177779,2024-01-17
127,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-177787,2024-01-17
128,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-177795,2024-01-17
129,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-177803,2024-01-17
130,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-177811,2024-01-17
131,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-177819,2024-01-17
135,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-167779,2024-01-16
136,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-167787,2024-01-16
137,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-167795,2024-01-16
138,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-167803,2024-01-16
139,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-167811,2024-01-16
140,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-167819,2024-01-16
148,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-157779,2024-01-15
149,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-157787,2024-01-15
150,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-157795,2024-01-15
151,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-157803,2024-01-15
152,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-157811,2024-01-15
153,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-157819,2024-01-15
165,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-147779,2024-01-14
166,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-147787,2024-01-14
167,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-147795,2024-01-14
168,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-147803,2024-01-14
169,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-147811,2024-01-14
170,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-147819,2024-01-14
178,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-137779,2024-01-13
179,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-137787,2024-01-13
180,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-137795,2024-01-13
181,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-137803,2024-01-13
182,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-137811,2024-01-13
183,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-137819,2024-01-13
186,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-127779,2024-01-12
187,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-127787,2024-01-12
188,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-127795,2024-01-12
189,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-127803,2024-01-12
190,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-127811,2024-01-12
191,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-127819,2024-01-12
196,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-117779,2024-01-11
197,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-117787,2024-01-11
