event id,card name,copies
3,Aether Spellbomb,2
3,Aether Vial,4
3,Aluren,4
3,Ancient Tomb,20
3,Animate Dead,14
3,Architects of Will,8
3,Archon of Cruelty,5
3,"Atraxa, Grand Unifier",3
3,Badlands,8
3,Battle Cry Goblin,3
3,Bayou,4
3,Blast Zone,1
3,Bloodbraid Marauder,8
3,Bloodstained Mire,8
3,Bojuka Bog,1
3,"Boseiju, Who Endures",3
3,Brainstorm,36
3,Brazen Borrower,10
3,Broadside Bombardiers,6
3,Cavern Harpy,2
3,Cavern of Souls,10
3,Caves of Chaos Adventurer,4
3,Chalice of the Void,11
3,Chrome Mox,4
3,City of Traitors,4
3,Colossal Skyturtle,4
3,Consider,1
3,Crashing Footfalls,3
3,Crop Rotation,4
3,Crucible of Worlds,1
3,Dark Depths,2
3,Dark Ritual,8
3,Daze,35
3,Delver of Secrets,8
3,Dragon's Rage Channeler,8
3,Dress Down,8
3,Elvish Spirit Guide,8
3,"Emry, Lurker of the Loch",8
3,Endurance,3
3,Entomb,8
3,Exhume,8
3,Expedition Map,2
3,Exploration,4
3,Fable of the Mirror-Breaker,4
3,Faithless Looting,8
3,Fatal Push,8
3,Fire // Ice,4
3,Flooded Strand,6
3,Force of Negation,8
3,Force of Will,60
3,Forest,3
3,Fury,4
3,Gempalm Incinerator,1
3,Generous Ent,3
3,Ghost Quarter,1
3,Goblin Lackey,4
3,Goblin Matron,4
3,Goblin Ringleader,4
3,Goblin Warchief,1
3,Grief,20
3,Griselbrand,5
3,Horizon Canopy,1
3,Impulse,4
3,Incubation // Incongruity,6
3,Island,18
3,Kappa Cannoneer,2
3,Karakas,1
3,"Leovold, Emissary of Trest",3
3,Life from the Loam,5
3,Lightning Bolt,8
3,Living End,6
3,Living Wish,3
3,Lotus Petal,24
3,Lórien Revealed,16
3,Malevolent Hermit,1
3,Marsh Flats,4
3,Maze of Ith,2
3,Metallic Rebuke,2
3,Minor Misstep,2
3,"Minsc & Boo, Timeless Heroes",5
3,Misdirection,2
3,Mishra's Bauble,15
3,Misty Rainforest,31
3,Mogg War Marshal,2
3,Molten Collapse,1
3,Mountain,5
3,Mox Diamond,4
3,Mox Opal,8
3,Munitions Expert,2
3,Murderous Cut,6
3,Murktide Regent,25
3,"Muxus, Goblin Grandee",2
3,Mystic Sanctuary,5
3,Mystical Dispute,2
3,Once Upon a Time,8
3,Orcish Bowmasters,26
3,"Otawara, Soaring City",6
3,Paradigm Shift,4
3,Patchwork Automaton,8
3,Pernicious Deed,2
3,Phyrexian Dreadnought,8
3,Pithing Needle,2
3,Polluted Delta,31
3,Ponder,36
3,Preordain,5
3,Prismatic Ending,2
3,Prismatic Vista,4
3,Questing Druid,3
3,Reanimate,15
3,Riftstone Portal,1
3,Rishadan Port,2
3,"Sai, Master Thopterist",2
3,Sauron's Ransom,1
3,Savannah,2
3,Scalding Tarn,15
3,Scrubland,1
3,Seat of the Synod,8
3,Serra's Emissary,1
3,Shadowspear,3
3,Shardless Agent,4
3,Sheoldred's Edict,5
3,Simian Spirit Guide,7
3,Skirk Prospector,2
3,Sling-Gang Lieutenant,1
3,Slip Out the Back,2
3,Snow-Covered Forest,2
3,Snow-Covered Island,10
3,Snow-Covered Swamp,1
3,Snuff Out,1
3,Soul-Guide Lantern,2
3,Spell Pierce,2
3,Spell Snare,1
3,Spellseeker,1
3,Sphere of Resistance,4
3,Step Through,3
3,Stifle,20
3,Stingscourger,1
3,Street Wraith,8
3,Strict Proctor,3
3,Swamp,5
3,Swords to Plowshares,4
3,Sylvan Library,2
3,Taiga,5
3,Thassa's Oracle,4
3,The One Ring,1
3,The Tabernacle at Pendrell Vale,1
3,Thespian's Stage,3
3,Thought Lash,4
3,Thought Monitor,4
3,Thoughtcast,8
3,Thoughtseize,8
3,Torpor Orb,2
3,Trinisphere,2
3,Troll of Khazad-dûm,14
3,Tropical Island,18
3,Tundra,3
3,Underground Sea,23
3,Undermountain Adventurer,4
3,Unholy Heat,1
3,Unmask,4
3,Up the Beanstalk,12
